id,name,badge_url,limited_edition
1,Polyglot,/static/assets/img/badges/Polyglot.png,NULL
2,MVP 2022,/static/assets/img/badges/MVP-2022.png,1
3,Maiden Voyage,/static/assets/img/badges/Maiden-Voyage.png,NULL
4,Self Promoter,/static/assets/img/badges/Self-Promoter.png,NULL
5,World Traveler,/static/assets/img/badges/World-Traveler.png,NULL
6,Teaching Moment,/static/assets/img/badges/Teaching-Moment.png,NULL
7,No Pressure,/static/assets/img/badges/No-Pressure.png,NULL
8,Super Scholar,/static/assets/img/badges/Super-Scholar.png,NULL
9,Gold Medal Relay,/static/assets/img/badges/Gold-Medal-Relay.png,NULL
10,Madrid Workshop 2018 Organizer,/static/assets/img/badges/Workshop-Madrid-18-Organizer.png,1
11,Madrid Workshop 2018 Participant,/static/assets/img/badges/Workshop-Madrid-18-Participant.png,1
13,Cat Herder,/static/assets/img/badges/Cat-Herder.png,NULL
14,Florence Nightingale,/static/assets/img/badges/Nightingale.png,NULL
